state,dt,data,fips,confirmed,suspected,cured,dead
alabama,2020-01-21,,1,,,,
alabama,2020-01-22,,1,,,,
alabama,2020-01-23,,1,,,,
alabama,2020-01-24,,1,,,,
alabama,2020-01-25,,1,,,,
alabama,2020-01-26,,1,,,,
alabama,2020-01-27,,1,,,,
alabama,2020-01-28,,1,,,,
alabama,2020-01-29,,1,,,,
alabama,2020-01-30,,1,,,,
alabama,2020-01-31,,1,,,,
alabama,2020-02-01,,1,,,,
alabama,2020-02-02,,1,,,,
alabama,2020-02-03,,1,,,,
alabama,2020-02-04,,1,,,,
alabama,2020-02-05,,1,,,,
alabama,2020-02-06,,1,,,,
alabama,2020-02-07,,1,,,,
alabama,2020-02-08,,1,,,,
alabama,2020-02-09,,1,,,,
alabama,2020-02-10,,1,,,,
alabama,2020-02-11,,1,,,,
alabama,2020-02-12,,1,,,,
alabama,2020-02-13,,1,,,,
alabama,2020-02-14,,1,,,,
alabama,2020-02-15,,1,,,,
alabama,2020-02-16,,1,,,,
alabama,2020-02-17,,1,,,,
alabama,2020-02-18,,1,,,,
alabama,2020-02-19,,1,,,,
alabama,2020-02-20,,1,,,,
alabama,2020-02-21,,1,,,,
alabama,2020-02-22,,1,,,,
alabama,2020-02-23,,1,,,,
alabama,2020-02-24,,1,,,,
alabama,2020-02-25,,1,,,,
alabama,2020-02-26,,1,,,,
alabama,2020-02-27,,1,,,,
alabama,2020-02-28,,1,,,,
alabama,2020-02-29,,1,,,,
alabama,2020-03-01,,1,,,,
alabama,2020-03-02,,1,,,,
alabama,2020-03-03,,1,,,,
alabama,2020-03-04,,1,,,,
alabama,2020-03-05,,1,,,,
alabama,2020-03-06,,1,,,,
alabama,2020-03-07,,1,,,,
alabama,2020-03-08,,1,,,,
alabama,2020-03-09,,1,,,,
alabama,2020-03-10,,1,,,,
alabama,2020-03-11,,1,,,,
alabama,2020-03-12,,1,,,,
alabama,2020-03-13,,1,,,,
alaska,2020-01-21,,2,,,,
alaska,2020-01-22,,2,,,,
alaska,2020-01-23,,2,,,,
alaska,2020-01-24,,2,,,,
alaska,2020-01-25,,2,,,,
alaska,2020-01-26,,2,,,,
alaska,2020-01-27,,2,,,,
alaska,2020-01-28,,2,,,,
alaska,2020-01-29,,2,,,,
alaska,2020-01-30,,2,,,,
alaska,2020-01-31,,2,,,,
alaska,2020-02-01,,2,,,,
alaska,2020-02-02,,2,,,,
alaska,2020-02-03,,2,,,,
alaska,2020-02-04,,2,,,,
alaska,2020-02-05,,2,,,,
alaska,2020-02-06,,2,,,,
alaska,2020-02-07,,2,,,,
alaska,2020-02-08,,2,,,,
alaska,2020-02-09,,2,,,,
alaska,2020-02-10,,2,,,,
alaska,2020-02-11,,2,,,,
alaska,2020-02-12,,2,,,,
alaska,2020-02-13,,2,,,,
alaska,2020-02-14,,2,,,,
alaska,2020-02-15,,2,,,,
alaska,2020-02-16,,2,,,,
alaska,2020-02-17,,2,,,,
alaska,2020-02-18,,2,,,,
alaska,2020-02-19,,2,,,,
alaska,2020-02-20,,2,,,,
alaska,2020-02-21,,2,,,,
alaska,2020-02-22,,2,,,,
alaska,2020-02-23,,2,,,,
alaska,2020-02-24,,2,,,,
alaska,2020-02-25,,2,,,,
alaska,2020-02-26,,2,,,,
alaska,2020-02-27,,2,,,,
alaska,2020-02-28,,2,,,,
alaska,2020-02-29,,2,,,,
alaska,2020-03-01,,2,,,,
alaska,2020-03-02,,2,,,,
alaska,2020-03-03,,2,,,,
alaska,2020-03-04,,2,,,,
alaska,2020-03-05,,2,,,,
alaska,2020-03-06,,2,,,,
alaska,2020-03-07,,2,,,,
alaska,2020-03-08,,2,,,,
alaska,2020-03-09,,2,,,,
alaska,2020-03-10,,2,,,,
alaska,2020-03-11,,2,,,,
alaska,2020-03-12,,2,,,,
alaska,2020-03-13,1-0-0-0,2,1.0,0.0,0.0,0.0
arizona,2020-01-21,,4,,,,
arizona,2020-01-22,,4,,,,
arizona,2020-01-23,,4,,,,
arizona,2020-01-24,,4,,,,
arizona,2020-01-25,,4,,,,
arizona,2020-01-26,1-0-0-0,4,1.0,0.0,0.0,0.0
arizona,2020-01-27,1-0-0-0,4,1.0,0.0,0.0,0.0
arizona,2020-01-28,1-0-0-0,4,1.0,0.0,0.0,0.0
arizona,2020-01-29,1-0-0-0,4,1.0,0.0,0.0,0.0
arizona,2020-01-30,1-0-0-0,4,1.0,0.0,0.0,0.0
arizona,2020-01-31,1-0-0-0,4,1.0,0.0,0.0,0.0
arizona,2020-02-01,1-0-0-0,4,1.0,0.0,0.0,0.0
arizona,2020-02-02,1-0-0-0,4,1.0,0.0,0.0,0.0
arizona,2020-02-03,1-0-0-0,4,1.0,0.0,0.0,0.0
arizona,2020-02-04,1-0-0-0,4,1.0,0.0,0.0,0.0
arizona,2020-02-05,1-0-0-0,4,1.0,0.0,0.0,0.0
arizona,2020-02-06,1-0-0-0,4,1.0,0.0,0.0,0.0
arizona,2020-02-07,1-0-0-0,4,1.0,0.0,0.0,0.0
arizona,2020-02-08,1-0-1-0,4,1.0,0.0,1.0,0.0
arizona,2020-02-09,1-0-1-0,4,1.0,0.0,1.0,0.0
arizona,2020-02-10,1-0-1-0,4,1.0,0.0,1.0,0.0
arizona,2020-02-11,1-0-1-0,4,1.0,0.0,1.0,0.0
arizona,2020-02-12,1-0-1-0,4,1.0,0.0,1.0,0.0
arizona,2020-02-13,1-0-1-0,4,1.0,0.0,1.0,0.0
arizona,2020-02-14,1-0-1-0,4,1.0,0.0,1.0,0.0
arizona,2020-02-15,1-0-1-0,4,1.0,0.0,1.0,0.0
arizona,2020-02-16,1-0-1-0,4,1.0,0.0,1.0,0.0
arizona,2020-02-17,1-0-1-0,4,1.0,0.0,1.0,0.0
arizona,2020-02-18,1-0-1-0,4,1.0,0.0,1.0,0.0
arizona,2020-02-19,1-0-1-0,4,1.0,0.0,1.0,0.0
arizona,2020-02-20,1-0-1-0,4,1.0,0.0,1.0,0.0
arizona,2020-02-21,1-0-1-0,4,1.0,0.0,1.0,0.0
arizona,2020-02-22,1-0-1-0,4,1.0,0.0,1.0,0.0
