date,barack_obama,hillary_rodham_clinton,obama_down_by
2008-01-03,0.0,0.0,0.0
2008-01-08,12.0,9.0,-3.0
2008-01-15,41.5,43.5,2.0
2008-01-19,55.5,54.5,-1.0
2008-01-26,88.5,66.5,-22.0
2008-01-29,127.0,119.0,-8.0
2008-02-05,965.0,951.0,-14.0
2008-02-09,1013.0,978.0,-35.0
2008-02-10,1028.0,987.0,-41.0
2008-02-12,1136.0,1047.0,-89.0
2008-02-19,1192.0,1085.0,-107.0
2008-03-04,1375.0,1272.0,-103.0
2008-03-08,1379.0,1275.0,-104.0
2008-03-11,1399.0,1288.0,-111.0
2008-04-22,1472.0,1373.0,-99.0
2008-05-03,1474.0,1375.0,-99.0
2008-05-06,1575.0,1461.0,-114.0
2008-05-13,1583.0,1481.0,-102.0
2008-05-20,1628.0,1539.0,-89.0
2008-06-01,1645.0,1577.0,-68.0
2008-06-03,1661.0,1592.0,-69.0
